Designation,ra,dec,type,confidence,variability_snr,W1_amp,W2_amp,n_obs,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,W1emag,W2emag,W3emag,W4emag,Jemag,Hemag,Kemag,Gmag,Gemag,BPmag,BPemag,RPmag,RPemag,period1,period2,period_significance,suspect_period,known_extragalactic,simbad_type,Plx,e_Plx,A0,AG,E(BP-RP),G_absmag,blended_source?,latent_artifact?,cluster_id
VarWISE J064743.04-134000.1,101.92935,-13.6667,cep,0.9999,12.168,0.15,0.16,303,9.274,9.225,9.15,8.65,9.93,9.6,9.42,0.02,0.02,0.03,0.45,0.02,0.02,0.02,11.783398,0.012095,12.445727,0.037391,11.045371,0.026009,4.8593,9.71845,42.764,False,False,ClassicalCep,0.1772,0.0168,,,,,0.04,0.2,1476071878770545019
VarWISE J065201.10-124543.5,103.00459,-12.7621,cep,0.9997,12.958,0.165,0.17,274,9.649,9.598,9.59,8.84,10.53,10.06,9.87,0.02,0.02,0.04,,0.02,0.02,0.02,12.676683,0.011226,13.485056,0.044,11.768562,0.027014,4.635225,9.27075,50.666,False,False,ClassicalCep,0.1984,0.0138,2.7142,2.1029,1.1465,0.11347008,0.04,0.16,1476353534152650277
VarWISE J051309.19-281325.6,78.2883,-28.2238,cep,0.9844,6.641,0.088,0.093,385,10.957,10.972,10.9,8.88,11.7,11.17,11.05,0.02,0.02,0.09,,0.02,0.02,0.02,13.324668,0.003775,13.868675,0.009085,12.627329,0.008427,3.54435,1.7722,15.071,False,False,Variable*,0.6727,0.0108,0.4047,0.3199,0.17,2.644885,0.04,0.15,1477193812375898654
VarWISE J044546.08-174844.6,71.44201,-17.8124,cep,0.9893,6.935,0.12,0.143,317,12.125,12.103,12.04,8.55,12.52,12.27,12.26,0.02,0.02,0.26,,0.02,0.02,0.02,13.081432,0.010744,13.244911,0.03741,12.769757,0.024637,0.91955,1.839125,40.686,False,False,ClassicalCep,0.0835,0.0239,1.3534,1.2639,0.6816,0.53710556,0.04,0.33,1490140512669168492
VarWISE J053513.69-142351.0,83.80705,-14.3975,cep,0.9849,7.065,0.092,0.094,294,9.729,9.742,9.63,8.95,10.53,9.97,9.8,0.02,0.02,0.05,0.47,0.03,0.03,0.02,12.288285,0.003321,12.888629,0.006339,11.541458,0.00629,6.6463,3.323075,17.152,False,False,,0.8127,0.0127,0.7377,0.5784,0.3078,1.8487549,0.04,0.05,1492112912025644550
VarWISE J053040.32-124404.5,82.66802,-12.7346,cep,0.8813,6.449,0.083,0.082,311,10.499,10.463,10.4,9.07,10.86,10.66,10.56,0.02,0.02,0.06,,0.02,0.02,0.02,11.53139,0.00312,11.629617,0.003907,11.277575,0.005363,3.04435,1.522175,19.072,False,False,EclBin,0.77,0.0584,0.7486,0.7035,0.3765,1.7466345,0.04,0.04,1504779094885117202
VarWISE J053739.11-050839.8,84.41297,-5.1444,cep,0.9672,12.339,0.15,0.111,282,9.931,9.803,9.94,8.31,11.0,10.24,10.02,0.02,0.02,0.18,,0.03,0.02,0.02,13.784503,0.004719,14.964499,0.013801,12.69415,0.010584,3.959725,7.9198,14.767,False,False,RSCVnV*,2.5151,0.0151,4.4807,3.4837,1.9385,5.8046722,0.04,0.21,1508438562344699028
VarWISE J053832.20-050403.7,84.63417,-5.0677,cep,0.85,9.689,0.114,0.09,288,9.839,9.761,9.67,8.93,10.66,10.07,9.86,0.02,0.02,0.05,,0.03,0.02,0.02,12.79784,0.005764,13.532119,0.016828,11.980863,0.013237,1.60185,3.2037,20.574,False,False,RSCVnV*,2.5403,0.0139,1.5874,1.2341,0.6678,4.901009,0.04,0.07,1508438599455900053
VarWISE J060923.57-065148.6,92.34824,-6.8635,cep,1.0,34.068,0.598,0.535,284,10.886,10.779,10.93,9.11,11.7,11.25,11.1,0.02,0.02,0.11,,0.02,0.02,0.02,13.788407,0.019748,14.523137,0.069713,12.947362,0.054659,16.3835,32.75,60.947,False,False,Type2Cep,0.0637,0.0203,,,,,0.04,0.14,1509002843603781563
VarWISE J055907.94-060737.5,89.78312,-6.1271,cep,0.9858,8.227,0.109,0.115,305,10.026,10.0,9.97,8.64,10.64,10.26,10.07,0.02,0.02,0.05,,0.02,0.02,0.02,12.107899,0.003476,12.473123,0.005751,11.556501,0.008262,3.48545,6.97085,28.045,False,False,Variable*,1.0062,0.0124,,,,,0.04,0.21,1509565363204827895
VarWISE J055207.78-052500.4,88.03244,-5.4168,cep,0.9136,37.754,0.789,0.751,296,12.304,12.157,11.86,8.67,13.81,13.3,13.1,0.02,0.02,0.32,,0.03,0.02,0.03,13.848228,0.046549,14.004852,0.159425,13.536217,0.117045,19.865,39.71,16.031,False,False,CataclyV*,2.8693,0.0204,,,,,0.04,0.12,1511253919346364216
VarWISE J073807.86-162926.1,114.53276,-16.4906,cep,0.9743,20.727,0.299,0.325,250,10.843,10.776,10.41,8.7,11.77,11.19,10.94,0.02,0.02,0.07,,0.02,0.03,0.02,13.697902,0.011415,14.262899,0.043813,12.982977,0.028822,25.1635,23.541,30.429,False,False,EclBin_Candidate,0.2249,0.014,1.2524,1.0275,0.5693,0.93656063,0.04,0.19,1513510165189509066
VarWISE J072240.23-171947.9,110.66766,-17.33,cep,0.9997,9.526,0.118,0.123,289,9.394,9.317,9.34,8.88,10.49,9.85,9.56,0.02,0.02,0.04,,0.03,0.02,0.02,13.283378,0.006549,14.449002,0.023082,12.234121,0.015129,4.9605,9.92075,19.889,False,False,ClassicalCep,0.1813,0.0156,,,,,0.04,0.08,1513790991710052500
VarWISE J071859.49-165558.4,109.74791,-16.9329,cep,0.9902,7.806,0.185,0.237,253,13.018,12.922,12.08,8.63,14.45,13.72,13.4,0.02,0.03,,,0.04,0.04,0.04,17.508198,0.006192,18.89379,0.047652,16.351336,0.01602,2.047225,4.094475,17.04,False,False,Type2Cep,0.1598,0.0972,,,,,0.04,0.05,1513790837393215761
VarWISE J072832.55-145652.8,112.13565,-14.948,cep,0.9835,10.196,0.128,0.126,301,8.739,8.717,8.73,8.68,8.85,8.86,8.76,0.02,0.02,0.03,,0.03,0.03,0.02,9.322452,0.004045,9.405705,0.009215,9.133389,0.011297,1.974825,3.9496,40.874,False,False,PulsV*,0.7648,0.0164,0.5571,0.5244,0.2807,-1.0818548,0.04,0.14,1514072712976270216
